Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
ACR,ACR586,18 Reserves Forest Carbon Project,Forest Carbon,United States,"[6, 13, 15, 9]",01/15/2020,439593,58979,""","
ACR,ACR206,2014-P4,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",04/14/2014,71825,0,"www.eosclimate.com"","
ACR,ACR203,2014-P5,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",03/02/2014,0,0,"www.eosclimate.com"","
ACR,ACR521,A-Gas 1-2020,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",10/09/2019,62007,0,"www.agasamericas.com"","
ACR,ACR1042,A-Gas 1-2024,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",03/20/2024,92278,0,"https://www.agas.com/"","
ACR,ACR522,A-Gas 2-2020,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",12/11/2019,94565,0,"www.agasamericas.com"","
ACR,ACR902,A-Gas 2-2023,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",02/07/2023,109180,0,"www.agasamericas.com"","
ACR,ACR443,A-Gas 2019-3,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",11/27/2018,114871,0,"www.agasamericas.com"","
ACR,ACR444,A-Gas 2019-4,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",02/15/2019,88307,0,"www.agasamericas.com"","
ACR,ACR473,A-Gas 2019-5,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",03/27/2019,125403,0,""","
ACR,ACR474,A-Gas 2019-6,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",05/29/2019,149835,0,""","
ACR,ACR475,A-Gas 2019-7,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",05/17/2019,91017,0,""","
ACR,ACR497,A-Gas 2019-8,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",08/15/2019,42038,0,"www.agasamericas.com"","
ACR,ACR503,A-Gas 2019-9,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",09/15/2019,136444,0,"www.agasamericas.com"","
ACR,ACR496,A-Gas 2019-Misc,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",08/16/2019,51610,0,"www.agasamericas.com"","
ACR,ACR533,A-Gas 3-2020,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",03/11/2020,81042,0,"www.agasamericas.com"","
ACR,ACR961,A-Gas 3-2023,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",09/26/2023,0,0,"www.agasamericas.com"","
ACR,ACR1007,A-Gas 3-2023B,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",09/26/2023,79565,0,"www.agasamericas.com"","
ACR,ACR849,A-Gas ODS-VER1,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",02/27/2023,15943,15943,""","
ACR,ACR933,A-Gas ODS-VER2,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",07/05/2023,21498,21498,"www.agasamericas.com"","
ACR,ACR1045,A-Gas ODS-VER3,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",12/04/2023,0,0,"www.agasamericas.com"","
ACR,ACR823,A-Gas South Korea 1,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",11/01/2022,88945,0,"https://www.agas.com/"","
ACR,ACR882,A-Gas South Korea 2,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",05/11/2023,74831,0,"https://www.agas.com/"","
ACR,ACR979,A-Gas South Korea 3,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",02/02/2024,74143,0,"www.agas.com"","
ACR,ACR1039,A-Gas South Korea 4,Ozone Depleting Substances,United States,"[9, 12, 13, 3]",06/01/2024,0,0,"www.agas.com"","
ACR,ACR573,A-Gas V1,Industrial Process Emissions,United States,"[9, 13, 12, 3]",12/11/2018,83702,74118,"www.agasamericas.com"","
ACR,ACR775,A-Gas V10,Industrial Process Emissions,United States,"[9, 13, 12, 3]",01/07/2021,343908,73885,""","
ACR,ACR827,A-Gas V11,Industrial Process Emissions,United States,"[9, 13, 12, 3]",01/10/2022,937572,51487,"https://www.agas.com/"","
ACR,ACR869,A-Gas V12,Industrial Process Emissions,United States,"[9, 13, 12, 3]",01/07/2022,1855393,116958,""","
ACR,ACR935,A-Gas V13,Industrial Process Emissions,United States,"[9, 13, 12, 3]",01/03/2023,867204,0,""","
ACR,ACR905,A-Gas V14,Industrial Process Emissions,United States,"[9, 13, 12, 3]",01/06/2023,2220554,67755,""","
ACR,ACR1021,A-Gas V15,Industrial Process Emissions,United States,"[9, 13, 12, 3]",10/04/2023,454639,0,""","
ACR,ACR973,A-Gas V16,Industrial Process Emissions,United States,"[9, 13, 12, 3]",07/03/2023,1538940,0,""","
ACR,ACR1066,A-Gas V18,Industrial Process Emissions,United States,"[9, 13, 12, 3]",01/08/2024,0,0,""","
ACR,ACR583,A-Gas V2,Industrial Process Emissions,United States,"[9, 13, 12, 3]",12/05/2019,23045,20197,"www.agasamericas.com"","
ACR,ACR584,A-Gas V3,Industrial Process Emissions,United States,"[9, 13, 12, 3]",08/06/2019,16515,0,"www.agasamericas.com"","
