Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
MRK,MRK104000000016038,NOOR Ouarzazate CSR Project,W+ Income & Assets,Morocco,[],,103420,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000016038
MRK,MRK104000000027026,Braomisaig,No thinning or clearfell,Scotland,[],,26729,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027026
MRK,MRK104000000028447,"Lodge Farm, Hackford",Continuous cover system,England,[],,2405,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028447
MRK,MRK104000000026983,Ceannacroc (Phase 1),Peatland Restoration,Scotland,[],,21314,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026983
MRK,MRK104000000027040,Fannich (Phases 1-3),Peatland Restoration,Scotland,[],,57608,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027040
MRK,MRK104000000026263,Annandale and Lochwood,Mixed mainly thin and clearfell,Scotland,[],,9585,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026263
MRK,MRK103000000008881,Mikoko Pamoja,Forest Conservation & Avoided Deforestation,Kenya,[],,27822,12423,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000008881
MRK,MRK104000000026945,Vanga Blue Forest,Forest Conservation & Avoided Deforestation,Kenya,[],,18442,7331,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026945
MRK,MRK103000000017212,Auchencheyne Farm New Woodland Group 1’ (Monybuie NWC),Mixed mainly clearfell,Scotland,[],,32164,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000017212
MRK,MRK104000000027774,Babatana Rainforest Conservation Project (Sirebe),Improved forest management,Solomon Islands,[],,108895,3328,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027774
MRK,MRK103000000010207,Spott Wood,No thinning or clearfell,Scotland,[],,35290,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000010207
MRK,MRK104000000014502,Kinpurney Farm Woodland Creation,No thinning or clearfell,Scotland,[],,15378,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000014502
MRK,MRK104000000014500,East Mains - Gleneagles Estate,No thinning or clearfell,Scotland,[],,8794,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000014500
MRK,MRK104000000014501,Kaimknowe - Gleneagles Estate,Continuous cover system,Scotland,[],,22425,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000014501
MRK,MRK104000000027054,Mason Lane Headgate,Water Flow Restoration,United States,[],,162492,157180,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027054
MRK,MRK104000000027064,Water Trust Mill Creek,Water Flow Restoration,United States,[],,100346,621626,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027064
MRK,MRK104000000016036,Kern Wildlife Refuge,Water Flow Restoration,United States,[],,34078,35156,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000016036
MRK,MRK104000000016107,Flat Creek,Water Flow Restoration,United States,[],,19645,57064,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000016107
MRK,MRK104000000026415,French Creek,Water Flow Restoration,United States,[],,234738,93965,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026415
MRK,MRK104000000026416,Hillabahatchee Creek Basin,Water Flow Restoration,United States,[],,279044,459000,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026416
MRK,MRK100000000000784,The Middle Deschutes Instream Flow Restoration,Water Flow Restoration,United States,[],,1101282,4472233,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000784
MRK,MRK103000000005532,Roaring Fork River,Water Flow Restoration,United States,[],,122728,451825,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000005532
MRK,MRK104000000026927,Letterewe Woodland Creation,No thinning or clearfell,Scotland,[],,78311,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026927
MRK,MRK103000000005649,Bowlts 2016 (Allt na Tamshaig),No thinning or clearfell,Scotland,[],,33962,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000005649
MRK,MRK103000000017145,Bowlts-Avochie (Longcliffe),Mixed mainly thinning,Scotland,[],,8788,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000017145
MRK,MRK103000000000757,Scottish Forest Alliance  (Glen Sherup),No thinning or clearfell,Scotland,[],,1961059,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000000757
MRK,MRK100000000001120,Salmon Arm Landfill Gas GHG Project,Energy Efficiency,Canada,[],,44677,28069,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000001120
MRK,MRK103000000009792,Cheakamus Community Forest Carbon Project - Transitioned to BCCR,Sequestration,Canada,[],,118194,26141,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000009792
MRK,MRK100000000000703,Kruger Products Limited – New Westminster Biomass Gasification System - Transitioned to BCCR,Fuel Switching,Canada,[],,124842,86671,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000703
MRK,MRK103000000009584,The Great Bear (Haida Gwaii) Forest Carbon Project - Transitioned to BCCR,Sequestration,Canada,[],,1736960,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000009584
MRK,MRK103000000004099,Engine Fuel Gas Management Program of Activities - Transitioned to BCCR,Energy Efficiency,Canada,[],,25990,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004099
MRK,MRK100000000000697,Northwood Pulp Power Boiler #4 Side Stream Scrubber and Hog System Upgrades Project,Fuel Switching,Canada,[],,15991,22955,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000697
MRK,MRK100000000000701,Septimus Electrification Project - Transitioned to BCCR,Fuel Switching,Canada,[],,236978,117922,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000701
MRK,MRK100000000000699,Adams Lake Biomass-Fired Energy System,Fuel Switching,Canada,[],,82513,17569,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000699
MRK,MRK100000000000957,BC Transit / Translink Bus Fuel Switch - Transitioned to BCCR,Fuel Switching,Canada,[],,10525,24912,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000957
MRK,MRK100000000000700,Noel Electrification Project - Transitioned to BCCR,Fuel Switching,Canada,[],,106595,82710,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000700
MRK,MRK100000000001083,Canfor Prince George Fuel Switch - Transitioned to BCCR,Fuel Switching,Canada,[],,43321,19263,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000001083
MRK,MRK100000000001082,Canfor Mackenzie Sawmill Fuel Switch - Transitioned to BCCR,Fuel Switching,Canada,[],,64720,22013,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000001082
MRK,MRK100000000000709,Sunselect Delta Energy Curtains and Biomass Boiler - Transitioned to BCCR,Fuel Switching,Canada,[],,25974,163298,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000709
